id,ticker_id,date_id,open,high,low,close,volume,vwap,daily_return_pct,sma_7,sma_30,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,bb_upper,bb_middle,bb_lower,volatility_7d,volume_zscore,is_outlier,target_next_close,ingested_at
159,1,20241224,254.1019,256.8071,253.903,256.7972,23234700,,0,253.7155,247.734,252.383,248.574,3.809,3.5053,0.3037,82.2799,257.4383,249.9247,242.4111,0.007486,-0.9189,f,257.6127,2026-05-11 03:09:19.738139
160,1,20241226,256.7872,258.6869,256.2303,257.6127,27237100,,0,255.6705,248.7956,253.8683,249.8635,4.0048,3.6754,0.3294,83.9685,259.2459,251.1709,243.0959,0.004211,-0.7272,f,254.2014,2026-05-11 03:09:19.738139
161,1,20241227,256.4292,257.2945,251.6851,254.2014,42355300,,0,255.8722,249.6277,253.9629,250.4824,3.4805,3.6459,-0.1654,54.8569,259.5391,251.9298,244.3205,0.007267,-0.3245,f,250.8298,2026-05-11 03:09:19.738139
162,1,20241230,250.8596,252.1227,249.3877,250.8298,35557500,,0,254.5836,250.2483,253.073,250.5319,2.5411,3.3173,-0.7762,37.6711,259.1582,252.3346,245.511,0.006875,-0.5316,f,249.0595,2026-05-11 03:09:19.738139
163,1,20241231,251.0685,251.9039,248.0749,249.0595,39480700,,0,252.2563,250.4916,251.9331,250.3219,1.6112,2.7705,-1.1593,30.9033,259.2073,252.2729,245.3385,0.006327,-0.3781,f,242.5252,2026-05-11 03:09:19.738139
164,1,20250102,247.5776,247.7467,240.5062,242.5252,55740700,,0,248.4329,250.2317,249.261,249.2096,0.0514,1.902,-1.8506,16.413,260.4923,251.3152,242.1381,0.010037,0.0805,f,242.0378,2026-05-11 03:09:19.738139
165,1,20250103,242.0378,242.8534,240.5758,242.0378,40244100,,0,245.4393,250.0242,247.2095,248.1864,-0.9769,0.9374,-1.9143,15.6827,261.3646,250.8487,240.3328,0.009696,-0.319,f,243.6689,2026-05-11 03:09:19.738139
166,1,20250106,242.9827,245.9863,241.8787,243.6689,45045600,,0,243.6462,249.8279,246.2039,247.542,-1.3381,0.1424,-1.4805,29.6321,261.7247,250.3723,239.0199,0.010581,-0.1354,f,240.8941,2026-05-11 03:09:19.738139
167,1,20250107,241.6599,244.2159,240.0388,240.8941,40856000,,0,242.2467,249.4354,244.6958,246.5936,-1.8978,-0.5544,-1.3434,21.5553,261.6918,249.151,236.6102,0.005367,0.204,f,241.3814,2026-05-11 03:09:19.738139
168,1,20250108,240.6056,242.3859,238.7458,241.3814,37628900,,0,241.9895,248.8824,243.7544,245.85,-2.0956,-1.0974,-0.9982,26.255,260.8112,247.9008,234.9904,0.00545,-0.1263,f,235.5632,2026-05-11 03:09:19.738139
169,1,20250110,238.706,238.8552,231.7341,235.5632,61710900,,0,239.9066,247.7798,241.4279,244.3825,-2.9546,-1.7083,-1.2463,13.4479,259.1363,245.7774,232.4185,0.009615,1.9955,f,233.1265,2026-05-11 03:09:19.738139
170,1,20250113,232.2612,233.395,228.4719,233.1265,49630700,,0,237.2909,246.8747,239.0701,242.7767,-3.7066,-2.3783,-1.3283,10.5724,256.042,243.3288,230.6156,0.009503,0.5871,f,232.0126,2026-05-11 03:09:19.738139
171,1,20250114,233.4746,234.8371,231.207,232.0126,39435300,,0,234.6837,245.7801,237.0656,241.2411,-4.1755,-2.9964,-1.1791,9.355,253.1531,241.1099,229.0667,0.009046,-0.6123,f,236.5776,2026-05-11 03:09:19.738139
172,1,20250115,233.3652,237.6617,233.1563,236.5776,39832000,,0,234.1424,244.6781,236.927,240.5758,-3.6488,-3.2723,-0.3765,44.3313,249.949,239.6847,229.4204,0.009256,-0.6462,f,227.0199,2026-05-11 03:09:19.738139
173,1,20250116,236.0605,236.7169,226.7911,227.0199,71759100,,0,232.0495,242.8872,234.1132,238.6419,-4.5287,-3.667,-0.8617,21.3586,248.2247,237.4807,226.7367,0.018024,2.1129,f,228.7305,2026-05-11 03:09:19.738139
